country_of_origin,region,altitude,company
Guatemala,el progreso,518,"unex guatemala, s.a."
Taiwan,"台南市東山區( dongshan dist., tainan city)",650,taiwan coffee laboratory
El Salvador,cacahuatique,1250,soc. coop. de caf. de ciudad barrios de r.l.
Costa Rica,tarrazu,1850,"ceca,s.a."
Honduras,comayagua,1400,cigrah s.a de c.v
Brazil,south of minas,905,ipanema coffees
China,yunnan,1100,yunnan coffee exchange
China,menglian,1500,yunnan coffee exchange
Colombia,huila,de 1600 a 1950 msnm,racafe & cia s.c.a
Malawi,mzuzu,1442 m,mzuzu coffee planters coop union
Guatemala,jalapa,5000 ft.,"armajaro guatemala, s. a."
Colombia,huila,1.65,coffee export
Colombia,antioquia,1300,the coffee source inc.
Mexico,chiapas,1550,cesmach s.c.
Mexico,veracruz,1200,
Mexico,atoyac de alvarez,1200,cafe shunuc
Colombia,south huila,1400 thru 1850,ecom cca s.a.
Colombia,huila,de 1.600 a 1.950 msnm,c.i.racafe & cia s.c.a
Panama,boquete,1100,hacienda la esmeralda
Brazil,south of minas,934,ipanema coffees
Laos,"paksong,laos",1300,宸嶧國際
El Salvador,"el balsamo, quezaltepec",1200,consejo salvadoreño del café
Mexico,veracruz,1300,finca kassandra
Colombia,huila,,federacion nacional de cafeteros
Brazil,monte carmelo,,bourbon specialty coffees
"Tanzania, United Republic Of",karatu arusha,1700,nitin coffee estate
"Tanzania, United Republic Of",mbinga,1550,taylor winch (t) ltd
Taiwan,嘉義阿里山,1200公尺,宸嶧國際
Mexico,la yerba,1296,productos y servicios chilindron s.a. de c.v.
Uganda,mt elgon,1400- 1900,afca
Thailand,phahi,1500,"coffeas co., ltd"
Colombia,huila,1800 msnm,exportadora de cafe condor s.a
El Salvador,,,atlantic specialty coffee
Guatemala,antigua,1500,finca medina
Thailand,thailand,,mae fah luang foundation
Mexico,,1100,cafe montegrande
Mexico,mahuixtlan,950,grupo cafetalero los brujos
Guatemala,oriente,4000,"unex guatemala, s.a."
Taiwan,國姓鄉 guoshing township,1050,taiwan coffee laboratory
Brazil,south of minas,,volcafe ltda.
Brazil,campos altos - cerrado,,bourbon specialty coffees
Indonesia,aceh,1200-1300m dpl,pt. sari makmur tunggal mandiri
Thailand,thailand,800++,doi tung development project
Thailand,chiangrai,1400-1500 m,"coffeas co., ltd"
"Tanzania, United Republic Of",ikand village,1317,tembo coffee company ltd
Uganda,eastern,1400-1900,kawacom uganda ltd
Costa Rica,central valley,1200-1400,coricafe s.a.
Guatemala,,,s&d coffee and tea
Colombia,huila,1750 msnm,exportadora de cafe condor s.a
Colombia,huila,1750 msnm,exportadora de cafe condor s.a
Colombia,huila,1750 msnm,exportadora de cafe condor s.a
Mexico,oaxaca,1250,
Mexico,colima,1150,organizaciones de productores de cafe colimense sa de cv
Colombia,huila,de 1.600 a 1.950 msnm,c.i.racafe & cia s.c.a
Brazil,south of minas,900-1050m,
Indonesia,bali,1250,pt. shriya artha nusantara
Honduras,comayagua,1400,cigrah
Guatemala,oriente,4000,"unex guatemala, s.a."
Thailand,thailand,800++,doi tung development project
Thailand,chiangrai,1400-1500 m,"coffeas co., ltd"
"Tanzania, United Republic Of",karatu arusha,1600,shah plantations
"Tanzania, United Republic Of",moshi,,amkeni gourmet coffee group
Mexico,chiapas,1500-1700m,lusso coffee lab
Guatemala,oriente,4300,"unex guatemala, s.a."
Colombia,huila,1750 msnm,exportadora de cafe condor s.a
Guatemala,oriente,4300,"unex guatemala, s.a."
Mexico,san bartolo tutotepec,1679,
Mexico,zapotitlan de mendez,1100,cafe de la sierra norte de puebla
Mexico,la concordia,1650,finca santa cruz
Guatemala,oriente,,"waelti schoenfeld exportadores de cafe, s.a."
Brazil,carmo de minas,1.250 m,exportadora de cafés carmo de minas ltda
Colombia,huila,de 1.600 a 1.950 msnm,c.i.racafe & cia s.c.a
Honduras,"comayagua, honduras",1500,carrillo cooperativa
Guatemala,san marcos,1700,"unex guatemala, s.a."
Guatemala,san marcos,1700,"unex guatemala, s.a."
Guatemala,el progreso,518,"unex guatemala, s.a."
Guatemala,santa rosa,,asociación nacional del café - anacafe -
Colombia,guayata,1600,racafe & cia s.c.a
China,yunnan,1600,yunnan coffee exchange
Brazil,campos altos - cerrado,,bourbon specialty coffees
Guatemala,atitlan,1400 mts,the coffee source inc.
Mexico,la yerba,1296,productos y servicios chilindron s.a. de c.v.
Brazil,south of minas,1000m,nucoffee
Mexico,veracruz,1170,
Honduras,,,s&d coffee and tea
Colombia,huila,de 1600 a 1950 msnm,racafe & cia s.c.a
Mexico,chiapas,1560,cesmach s.c.
Mexico,san pedro cotzilnam,1400,carajillo café sa de cv
Mexico,coatepec,1300,
Mexico,xalapa,1170,finca los barreales
Mexico,zihuatanejo de azueta,1300,
Mexico,veracruz,1350,
Mexico,xicotepec de juarez,1150,
Mexico,progreso santa rosa teocelo,1250,
Mexico,fln mirador,1450,finca las nieves
Colombia,huila,442 msnm,carcafe ltda
Brazil,south of minas,,nucoffee
Colombia,huila,1750,exportadora de cafe condor s.a
Honduras,comayagua,1396,cigrah s.a de c.v
Brazil,cerrado,982,olam
Brazil,south of minas,934,ipanema coffees
Costa Rica,tarrazu,1850,"ceca,s.a."
Costa Rica,tarrazu,1550,panamerican coffee trading
China,xishuangbanna prefecture,1580,yunnan coffee exchange
Brazil,chapadão de ferro (cerrado mineiro),,bourbon specialty coffees
Guatemala,huehuetenango,5500 metros,exportcafe
Malawi,mzuzu,1450 m,mzuzu coffee planters coop union
Guatemala,jalapa,5000 ft.,"armajaro guatemala, s. a."
Colombia,antioquia,1300,the coffee source inc.
Guatemala,oriente,4300,"unex guatemala, s.a."
Colombia,huila,1750 msnm,exportadora de cafe condor s.a
Mexico,"la concordia, chiapas",1300,ecomtrading
Costa Rica,central valley,,"f. gaviña & sons, inc."
Guatemala,jalapa,5500-6000 psnm,finca el morito
Mexico,"jaltocan, hidalgo",441,
Mexico,veracruz,1170,finca los barreales
Guatemala,oriente,4300,"unex guatemala, s.a."
Brazil,grama valley,1100m,nucoffee
Mexico,santa catarina juquila,1200 a 1400,eczcafe fino s.a. de c.v.
Brazil,south of minas,950m,nucoffee
Colombia,huila,442 msnm,carcafe ltda
Guatemala,nuevo oriente,1450,mercon guatemala s.a.
El Salvador,apaneca,1500,consejo salvadoreño del café
Honduras,marcala,1350,cadexsa
Malawi,mzuzu,1180m,mzuzu coffee planters coop union
Mexico,veracruz,1338,
Mexico,"calnali, hidalgo",533,
Guatemala,antigua,4563,"siembras vision, s.a. / ing. jorge bolaños"
Mexico,veracruz,1170,finca los barreales
Mexico,juquila,1250,
El Salvador,,,atlantic specialty coffee
Mexico,veracruz,1100,
Mexico,canoas,900,organizaciones de productores de cafe colimense sa de cv
Colombia,huila,1750,exportadora de cafe condor s.a
Colombia,huila,de 1600 a 1950 msnm,c.i.racafe & cia s.c.a
Brazil,,,nucoffee
Brazil,south of minas,934,ipanema coffees
Honduras,comayagua,1500,cigrah s.a de c.v
"Tanzania, United Republic Of",ruvuma,1500-1800,tawoca
Thailand,thailand,800++,doi tung development project
Honduras,marcala,1350,cadexsa
Guatemala,atitlan,1500,essence coffee
Brazil,cerrado,,bourbon specialty coffees
"Tanzania, United Republic Of","ilomba vilage, mbozi",1700,tembo coffee company ltd
Mexico,veracruz,1100,"café andrade, s.a. de c.v."
Mexico,"la concordia, chiapas",1200-1600m,lusso coffee lab
Taiwan,"dongshan dist., tainan city 臺南市東山區",800 m,"red on tree co., ltd."
Colombia,huila,1750 msnm,exportadora de cafe condor s.a
Mexico,san bartolo tutotepec,1144,
Guatemala,oriente,1350,the coffee source inc.
Mexico,altotonga,1000,
Mexico,colima,1200,organizaciones de productores de cafe colimense sa de cv
Indonesia,aceh gayo,1300,pt. shriya artha nusantara
Colombia,huila,,skn caribecafe ltda
Brazil,south of minas,894,ipanema coffees
Costa Rica,tres rios,1200-1400 masl,"cafetalera internacional cafinter, s.a."
"Tanzania, United Republic Of",kilimanjaro,1500,volcafe/taylorwinch tanzania ltd
"Tanzania, United Republic Of",ngorogoro,1500 - 1700,ngorogoro convenant estate
Costa Rica,turrialba,1.3,"ceca,s.a."
Mexico,coatepec,1300,
Mexico,tapachula,1800,indigenas de la sierra madre de motozintla san isidro labrador s. de s.s.
Mexico,coatepec,1250,
Vietnam,don duong,1040m,royal base corporation
Mexico,veracruz,1250,
Honduras,el paraíso,1600,cigrah s.a de c.v
Honduras,guinope el paraíso,1600,cigrah s.a de c.v
Brazil,south of minas,944,ipanema coffees
"Tanzania, United Republic Of",kilimanjaro,1500-1800,tawoca
Laos,lao p.d.r.,1250m,kettles coffee roasters
"Tanzania, United Republic Of",meru,1300- 1400,finca estate
Malawi,mzuzu,2500m,mzuzu coffee planters coop union
Taiwan,"dongshan dist., tainan city 臺南市東山區",600m,"red on tree co., ltd."
Thailand,thailand,800++,doi tung development project
Costa Rica,central valley,1200-1400,coricafe s.a.
Honduras,occidental,1400 m.s.n.m.,beneficio santa rosa s.a.
Colombia,huila,1800 - 2000,racafe & cia s.c.a
Taiwan,"dongshan dist., tainan city 臺南市東山區",600-700 m,"red on tree co., ltd."
Brazil,"minas gerais, br",894m - 1183m,café do paraíso
Mexico,coscomatepec,940,
Brazil,south of minas,1000m,nucoffee
Brazil,cerrado,1050m,nucoffee
Guatemala,san marcos,,"elfasa, s.a."
Brazil,south of minas,950m,nucoffee
Guatemala,oriente,4600 ft.,coffee resources inc.
Guatemala,oriente,1901,"unex guatemala, s.a."
Guatemala,santa rosa,4000,"unex guatemala, s.a."
Honduras,comayagua,1400,cigrah s.a de c.v
El Salvador,"el balsamo, quezaltepec",1250,consejo salvadoreño del café
Guatemala,nuevo oriente,1300 a 1800 mtrs. a nivel del mar,asociación nacional del café - anacafe -
"Tanzania, United Republic Of",mbeya,1877,mcomafa co. ltd
Zambia,mubuyu estate,1000-1500m,lusso coffee lab
Honduras,,,thrive farmers
Taiwan,taichung xinshe 台中市新社區,1000 m,blossom valley宸嶧國際
Mexico,chiapas,1300,"finca triunfo verde, s.c."
Mexico,"chapulhuacan, hidalgo",981,
Mexico,"huazalingo, hidalgo",690,
Mexico,veracruz,1650,
Mexico,fortín de las flores,1000,
Brazil,grama valley,1100m,nucoffee
Guatemala,oriente,518,"unex guatemala, s.a."
Costa Rica,tarrazu,1900,bold coast coffee
Brazil,monte carmelo,973,volcafe ltda.
Indonesia,bali,1250,pt. olam indonesia
Guatemala,norte,3280,"unex guatemala, s.a."
Myanmar,ywar ngan,4001,
Mexico,chiapas,1350-1500,agroindustrias unidas de mexico sa de cv
Honduras,marcala,1400 msnm,cadexsa
Costa Rica,tres rios,1200-1400 masl,"cafetalera internacional cafinter, s.a."
Taiwan,"dongshan dist., tainan city 臺南市東山區",700m,taiwan coffee laboratory
Indonesia,lington nihuta,1300m,essence coffee
Malawi,kakoma,1556m,mzuzu coffee planters coop union
Honduras,comayagua,1350,cigrah
Mexico,"siltepec el triunfo, chiapas, mexico",1550 meters,globus coffee
Colombia,huila,de 1.600 a 1950 msnm,racafe & cia s.c.a
Brazil,sul de minas,1250,exportadora de cafés carmo de minas ltda
Guatemala,oriente,4300,"unex guatemala, s.a."
Mexico,veracruz,1500,
Mexico,coatepec,1250,
Brazil,cerrado,900-950m,
Guatemala,san marcos,1700,"unex guatemala, s.a."
Vietnam,vietnam,1040,"sunvirtue co., ltd."
"Tanzania, United Republic Of",ngorogoro,1500 - 1700,ngorogoro convenant estate
Mexico,"tenango de doria, hidalgo",774,
Mexico,tepictla,1250,
Mexico,oaxaca,1100,
Mexico,la concordia,1550,beneficio custepec s.a. de c.v.
Mexico,la concordia,1650,finca las nubes
Colombia,huila,1750 msnm,exportadora de cafe condor s.a
Guatemala,san marcos,1700,"unex guatemala, s.a."
Guatemala,santa rosa,4000,"unex guatemala, s.a."
Honduras,marcala,1450,cadexsa
"Tanzania, United Republic Of",mbinga,1800,volcafe/taylorwinch tanzania ltd
Colombia,la plata,,racafe & cia s.c.a
"Tanzania, United Republic Of",mbinga,1200-1800m,dae ltd company
"Tanzania, United Republic Of","ilomba vilage, mbozi",1700,tembo coffee company ltd
Indonesia,bener meriah,,volcafe specialty coffee
Honduras,comayagua,1400,cigrah
Costa Rica,tarrazu,1850,"ceca,s.a."
Mexico,"la concordia, chiapas",1400,union ramal santa cruz spr de ri
Guatemala,jalapa,5500-6000 psnm,finca el morito
Mexico,tuxtla gutierrez,1650,"productora agricola y ganadera finca la suiza, s.p.r. de r.l. de c.v."
Mexico,yajalon,1400,
Mexico,veracruz,1200,
Mexico,"la concordia, chiapas",1400,ecomtrading
Mexico,"sacún palma, municipio de chilón, chiapas",940,"estrategias constructivas corzu, s.a. de c.v."
Honduras,western region,1200,molinos de honduras
Guatemala,huehuetenango,190164,"unex guatemala, s.a."
Taiwan,natou county,800,taiwan coffee laboratory
Costa Rica,turrialba,1.3,"ceca,s.a."
"Tanzania, United Republic Of","oldeani , mongola",1800,acacia hills ltd
Malawi,mzuzu,1100m,mzuzu coffee planters coop union
Taiwan,natou county,850 m,"red on tree co., ltd."
Guatemala,oriente,4300,"unex guatemala, s.a."
Mexico,"la concordia, chiapas",1400,union ramal santa cruz spr de ri
Mexico,la concordia,1600,finca santa cruz
Mexico,la concordia,1650,finca santa cruz
Thailand,"doi chaang village, chiang rai, thialand",4921ft,
Thailand,,,
Guatemala,santa rosa,4000,"unex guatemala, s.a."
Nicaragua,jalapa,1100,exportadora atlantic s.a
Honduras,comayagua,1400,cigrah
Guatemala,santa rosa,,"unex guatemala, s.a."
Taiwan,古坑鄉荷包村尖山坑60號,160-200m,宸嶧國際
Myanmar,ywar ngan township,4000 ft,"aung nay lin htun co., ltd"
Costa Rica,occidental,1200 msm,santa laura exportadora de cafe s.l.e.c. s.a.
Malawi,mzuzu,1599m,mzuzu coffee planters coop union
Guatemala,oriente,4000 psnm,outspan guatemala s.a.
Taiwan,natou county,900 m,"red on tree co., ltd."
Brazil,sul de minas,1200,exportadora de cafés carmo de minas ltda
Mexico,"la concordia, chiapas",1150,ecomtrading
Mexico,amatenango de la frontera,1600,ecomtrading
Mexico,temaxcalapa,1100,
Mexico,manzanillo,1000,
Mexico,tapachula,1250,
Mexico,atoyac de alvarez,1100,
Indonesia,ijen,1200-1600masl,scai
Brazil,sul de minas,1.25,exportadora de cafés carmo de minas ltda
Guatemala,oriente,,"unex guatemala, s.a."
Mexico,veracruz,1100,cafes tomari sa de cv
Guatemala,san marcos,4500,"agricola nueva granada, s.a."
Honduras,marcala,1400 msnm,cadexsa
Taiwan,苗栗三灣,110公尺,宸嶧國際
Malawi,mzuzu,1422,mzuzu coffee planters coop union
Guatemala,"san lucas toliman, solola",1550 mts.,cafcom
Mexico,siltepec el triunfo,1550 meter,globus coffee
Guatemala,oriente,4300,"unex guatemala, s.a."
Mexico,"huazalingo, hidalgo",763,
Mexico,"coatepec, coatepec",1100,grupo cafetalero los brujos
Colombia,huila,1750 m.s.n.m,exportadora de cafe condor s.a
Colombia,huila,,racafe & cia s.c.a
Mexico,veracruz,1130,ac la laja sa de cv
Honduras,marcala,1350,cadexsa
Philippines,"davao city, region 11",1400 masl,s3v international importing
Malawi,mzuzu,1200m,mzuzu coffee planters coop union
Honduras,san marcos,1450 msnm,"olam honduras, s.a."
Mexico,tapachula,1800,indigenas de la sierra madre de motozintla san isidro labrador s. de s.s.
Mexico,veracruz,1000,
Taiwan,"dongshan dist., tainan city 台南市東山區",680,taiwan coffee laboratory
Nicaragua,jinotega,1100,"comercial internacional exportadora, s.a."
Honduras,marcala,1400 msn,cadexsa
"Tanzania, United Republic Of",karatu ngorogoro,1700,shangrilla estate ltd
Guatemala,"sacatepequez, guatemala",5000 f,"siembras vision, s.a."
Mexico,motozintla,1500,ecomtrading
Nicaragua,"dipilto, nueva segovia",1200,exportadora atlantic s.a
Mexico,"chiapas, jaltenango",1200,exportadora café california
Costa Rica,tres rios,1200-1400 masl,"cafetalera internacional cafinter, s.a."
Honduras,central region,1450 mals,cigrah
Thailand,chiangrai,1400-1500 m,"coffeas co., ltd"
Philippines,corillera administrative,1200 masl,s3v international importing
"Tanzania, United Republic Of",mbinga,1550,taylor winch (t) ltd
Malawi,southern- zomba,990-1000m,r.w.j wallace ltd
Costa Rica,central valley,1200-1400,coricafe s.a.
Brazil,monte carmelo,,bourbon specialty coffees
Mexico,tapachula,1800,indigenas de la sierra madre de motozintla san isidro labrador s. de s.s.
Guatemala,oriente,1450,the coffee source inc.
Brazil,south of minas,1000m,nucoffee
Ethiopia,sidamo,0,kerchanshe trading plc
Brazil,alta paulista (sao paulo),695,garca armazens
Nicaragua,jinotega,1100 m.o.s.l.,"comercial internacional exportadora, s.a."
"Tanzania, United Republic Of","iwala village, mbeya rural",1456,taylor winch (t) ltd
Costa Rica,naranjo,1500 mts,the coffee source inc.
Mexico,san fernando,1650,cafetera el grande s.a. de c.v.
Mexico,santo reyes nopala,1300,
Mexico,santa maria sitepec,1642,comercializadora profesional mexicana s.a. de c.v.
Mexico,talpa de allende,1200,
El Salvador,apaneca,1450,soc. coop. cuzcachapa de r.l.
Guatemala,norte,3280,"unex guatemala, s.a."
Colombia,guayata,1600,racafe & cia s.c.a
Guatemala,oriente,4000psn,"unex guatemala, s.a."
Taiwan,"dongshan dist., tainan city 臺南市東山區",758m,taiwan coffee laboratory
Honduras,san marcos,1350 snn,"olam honduras, s.a."
Brazil,cerrado,,bourbon specialty coffees
"Tanzania, United Republic Of",arusha,1525 m,mlimani ngarashi
Uganda,eastern,1700,kyagalanyi coffee ltd
Thailand,thailand,800++,doi tung development project
Mexico,"motozintla, chiapas",950,industrializadora de kaffee andes s.a. de c.v.
Mexico,adolfo lopez mateos,1100,organizaciones de productores de cafe colimense sa de cv
Taiwan,taiwan,200,八杞莊園
Guatemala,oriente,1901,"unex guatemala, s.a."
Kenya,kiambu,1600,c dorman ltd
Mexico,veracruz,1100,grupo santab s.a. de c.v.
Myanmar,pyinoolwin,3500 ft,"sithar coffee co., ltd."
"Tanzania, United Republic Of","manyara, karatu",1700,karatu estate
Taiwan,台中新社,550公尺,宸嶧國際
Guatemala,jalapa,5000 ft.,"armajaro guatemala, s. a."
Mexico,ixhuatlan del cafe,1186,
Laos,"paksong,laos",1300,宸嶧國際
Guatemala,orient,1200,the coffee source inc.
Mexico,motozintla,1210,productora rural la victoria s.p.r. de r.l.
Mexico,oaxaca,1100,café san blas
Mexico,veracruz,100,
Myanmar,ywar ngan,3825,
Guatemala,huehuetenango,5440-5760 metros,exportcafe
Nicaragua,jinotega,1100.00 mosl,"comercial internacional exportadora, s.a."
Honduras,"siguatepeque, comayagua",1450 masl,cigrah s.a de c.v
Panama,boquete,1680m,essence coffee
Honduras,marcala,1350,cadexsa
Honduras,central region,1450 mals,cigrah
Mexico,oaxaca,1200,
Haiti,haiti,~1000 meters,haiti coffee
Taiwan,taiwan,,宸嶧國際
Indonesia,sumatra brastagi,1200-1500,pt. olam indonesia
Costa Rica,tarrazu,1.85,"ceca,s.a."
Malawi,southern- zomba,990-1000m,r.w.j wallace ltd
Mexico,"el desmoronado, talpan de allende jalisco",1200,cafe don balbino s.c. de r.l. de c.v.
Colombia,santander,1550,ecom cca sa
Guatemala,"san lucas toliman, solola",1550,"finca santo tomas pachuj, guatemala"
Guatemala,oriente,,"unex guatemala, s.a."
Guatemala,oriente,,"unex guatemala, s.a."
Brazil,monte carmelo,,bourbon specialty coffees
Nicaragua,nueva segovia,,exportadora atlantic s.a
"Tanzania, United Republic Of",arusha,1400,burka coffee estate
Honduras,occidental,1400 m.s.n.m.,beneficio santa rosa s.a.
Guatemala,huehuetenango,4540 metros,exportcafe
Taiwan,taiwan,50,王秋金
Guatemala,santa rosa,1500,"peter schoelfeld, s.a"
Honduras,ocotepeque,1650,coffee planet corporation s.a
Mauritius,chamarel (south west),280,compagnie sucrière de bel ombre ltd
Myanmar,pyin oo lwin,3800,shwe yin mar coffee
Guatemala,oriente,4000 p.s.n.m.,outspan guatemala s.a.
Brazil,mantiqueira de minas,1250,exportadora de cafés carmo de minas ltda
Guatemala,huehuetenango,6100 metros,exportcafe
Mexico,zaragoza itundujia,1450,cafeorganico.mx
Honduras,marcala,1450,cadexsa
Taiwan,南投國姓,600公尺,宸嶧國際
El Salvador,"department of ahuachapan, municipality of apanecallamatepec mountain",1450m,lusso coffee lab
China,yunnan,1700,yunnan new century tech inc.
Mexico,pochutla,1050,ecomtrading
Mexico,la concordia,1550,beneficio custepec s.a. de c.v.
Burundi,mumirwa,1700,sangana commodities k limited
"Tanzania, United Republic Of",arusha,,kongoni estate
Guatemala,oriente,4300,"unex guatemala, s.a."
Mexico,chilón,940,estrategias constructivas corzu s.a. de c.v.
Ethiopia,kelem welega,,
Honduras,comayagua,1400,cigrah s.a de c.v
Mexico,sierra madre occidental,1600,cafe don balbino s.c. de r.l. de c.v.
Myanmar,"yauk sauk, shan state",3000 ft,"waylead industrial co, ltd."
Myanmar,ywar ngan,4287,
Nicaragua,matagalpa,900 m.s.n.m.,zeas escobar y compañía limitada
Colombia,,,costco wholesale industries
Guatemala,oriente,1400,the coffee source inc.
Mexico,"calnali, hidalgo",808,
Vietnam,dala,1550,"sunvirtue co., ltd."
Nicaragua,jinotega,1100 - 1275 mts,exportadora atlantic s.a
Honduras,marcala,1400 msnm,cadexsa
Guatemala,oriente,4300,"unex guatemala, s.a."
Mexico,coatepec,1250,café katsina
Mexico,zaragoza itundujia,1550,cafeorganico.mx
Mexico,veracruz,1000,cafes de naranjal s.a. de c.v
Guatemala,oriente,4300,"unex guatemala, s.a."
Taiwan,苗栗泰安,850公尺,宸嶧國際
Mexico,zaragoza itundujia,1300,cafeorganico.mx
Mexico,escuitla,1300,
Nicaragua,jinotega,1250,"comercial internacional exportadora, s.a."
Myanmar,"doe kwin, pyin oo lwin",3845,ngu shwe li coffee estate
Mexico,"sierra fraylesca, chiapas",1300 to 1500 meters,globus coffee
Thailand,thailand,800++,doi tung development project
Mexico,coatepec,1250,
Mexico,san miguel del puerto,1100,
Ethiopia,limu,,
Colombia,huila,,federacion nacional de cafeteros
United States (Hawaii),kona,,kona pacific farmers cooperative
Mexico,chiapas,1300,"finca triunfo verde, s.c."
Mexico,"motozintla, chiapas",1100,industrializadora de kaffee andes s.a. de c.v.
Mexico,veracruz,1100,
Mexico,jaltenango,1100,
Mexico,coatepec,1250,
Mexico,veracruz,1250,cafetalera la asunción s.a. de c.v.
Kenya,kiambu,1500,taylor winch (coffee) ltd
Guatemala,san marcos,1700,"unex guatemala, s.a."
Nicaragua,jinotega,1250,asociación aldea global jinotega
Mexico,veracruz,1300,
Guatemala,oriente,1901.64,"unex guatemala, s.a."
Taiwan,"taiwu township , pingtung county 屏東縣泰武鄉",800-1200,"red on tree co., ltd."
Taiwan,"baihe dist., tainan city 臺南市白河區",500-700m,"red on tree co., ltd."
Thailand,thailand,800++,doi tung development project
Costa Rica,brunca,1100,the coffee source inc.
Mexico,"la concordia, chiapas",1400,union ramal santa cruz spr de ri
Mexico,chiapas,1022,comon yaj noptic s. de ss
Mexico,chiapas,1300,"finca triunfo verde, s.c."
Mexico,zaragoza itundujia,1450,cafeorganico.mx
Mexico,pochutla,1050,ecomtrading
Guatemala,antigua,,lusso coffee lab
Mexico,tuxtla gutierrez,1100,cafe montegrande
Guatemala,oriente,4000,"unex guatemala, s.a."
El Salvador,cacahuatique,1250,consejo salvadoreño del café
Thailand,thailand,800++,doi tung development project
Guatemala,oriente,4300,"unex guatemala, s.a."
Mexico,"la concordia, chiapas",1400,union ramal santa cruz spr de ri
Mexico,"tenango de doria, hidalgo",975,
Mexico,"coatepec, coatepec",1264,ecomtrading
Mexico,tepetzingo,1250,cafetera el grande s.a. de c.v.
Mexico,la concordia,1550,beneficio custepec s.a. de c.v.
Nicaragua,jinotega,1050,cooperativa el gorrion r.l
Taiwan,nantou,700m公尺,blossom valley宸嶧國際
Colombia,cundinamarca,1550 msnm,exportadora de cafe condor s.a
Mexico,la concordia,1550,beneficio custepec s.a. de c.v.
Mexico,"coatepec, coatepec",1100,
Guatemala,oriente,4000 p.s.n.m.,"unex guatemala, s.a."
Guatemala,oriente,4000 p.s.n.m.,outspan guatemala s.a.
Mexico,xicotepec de juarez,800,cafessisimo compañia s.a. de c.v.
Cote d?Ivoire,cnra station of divo,200,royal 1750 coffee
Mexico,zentla,950,
Mexico,zentla,750,
Guatemala,oriente,,"unex guatemala, s.a."
Taiwan,natou county,850,"red on tree co., ltd."
Mexico,veracruz,1000,cafes de naranjal s.a. de c.v
Guatemala,santa rosa,4000,"unex guatemala, s.a."
Honduras,ocotepeque,1650,coffee planet corporation s.a
Guatemala,occidente,1320,"unex guatemala, s.a."
Guatemala,nuevo oriente,1300 a 1800 metros sobre el nivel del mar,mercon guatemala s.a.
Costa Rica,san rafael,,s&d coffee and tea
Mexico,zaragoza itundujia,1550,cafeorganico.mx
Mexico,yajalon,1450,
Guatemala,san marcos,1700,"unex guatemala, s.a."
Mexico,zaragoza itundujia,1500,cafeorganico.mx
Mexico,tlacuilotepec,1100,productores e industrializadores de café orgánico la fe s.c. de r.l.
Mexico,talpa de allende,1200,
Guatemala,oriente,4000,outspan guatemala s.a.
Honduras,intibuca,1350,cafes finos de exportacion s de r.l.
Peru,san ignacio,1400,sustainable harvest
Mexico,"iliatenco, guerrero",1300,café monteabuelo s.a. de c.v.
Mexico,zaragoza itundujia,1550,cafeorganico.mx
Mexico,amatenango de la frontera,12oo,café pico de loro
Mexico,"la concordia, chiapas",1300,ecomtrading
Mexico,zaragoza itundujia,1400,cafeorganico.mx
Nicaragua,jalapa,1100,exportadora atlantic s.a
Guatemala,oriente,4300,"unex guatemala, s.a."
Mexico,veracruz,1320,empagri s.p.r. de r.l. de c.v.
Mexico,veracruz,1250,
Mexico,"ohuapan, tlaltetela",1350,
China,yunnan,1850,yunnan louis herbs r& d center
Mexico,yecuatla,1150,
Nicaragua,nueva segovia,,exportadora atlantic s.a
Nicaragua,,,exportadora atlantic s.a
Guatemala,oriente,4000 psnm,outspan guatemala s.a.
Taiwan,"dongshan dist., tainan city 臺南市東山區",800m,"red on tree co., ltd."
Mexico,tapachula,1400,ecomtrading
Mexico,cofradia de suchitlan,1300,organizaciones de productores de cafe colimense sa de cv
Mexico,"sierra, chiapas",1600 meters,unión de ejidos san fernando
Mexico,villa talea de castro,1400,villa talea café
Mexico,los angeles,1200,
Mexico,zaragoza itundujia,1500,cafeorganico.mx
Guatemala,oriente,4000 p.s.n.m,outspan guatemala s.a.
Guatemala,oriente,4300,"unex guatemala, s.a."
Mexico,"xochitonalco, huautla        ",1300,asociación agricola local de productores de café de huautla de jimenez        
Guatemala,oriente,,"unex guatemala, s.a."
Indonesia,ijen,1300,pt. shriya artha nusantara
Mexico,cordoba,1050,
Taiwan,"台南市東山區( dongshan dist., tainan city)",650,taiwan coffee laboratory
Honduras,intibuca,1350,cafes finos de exportacion s de r.l.
Guatemala,oriente,4000 p.s.n.m,outspan guatemala s.a.
China,yunnan,1200 meters,greenhouse coffee china
Guatemala,oriente,4300,"unex guatemala, s.a."
Mexico,"motozintla, chiapas",850,industrializadora de kaffee andes s.a. de c.v.
Costa Rica,occidental,1200 msm,santa laura exportadora de cafe s.l.e.c. s.a.
Mexico,petatlan,1248,
Guatemala,oriente,,"unex guatemala, s.a."
Nicaragua,jinotega,1000,"beneficiadora norteña de cafe, s. a. (bencafe)"
Guatemala,oriente,4300,"unex guatemala, s.a."
Taiwan,"dongshan dist., tainan city 臺南市東山區",750-800 m,"red on tree co., ltd."
Mexico,coatepec,1300,
Guatemala,oriente,4300,"unex guatemala, s.a."
Guatemala,oriente,4000 p.s.n.m.,outspan guatemala s.a.
Mexico,zaragoza itundujia,1500,cafeorganico.mx
